P_SUID,PARTY,CHNG_A,CHNG_B,CHNG_C,DIVRELPOP,DIVRACPOP,POORASSIST,CLIM1A,SCIMPACT,RELIMPACT,RACECMB,INC_SDT1,EDUCREC,EMPLSIT,USGEN,CURREL
10006530,1,2,2,2,2,1,2,2,2,2,1,8,3,2,3,10010
10006580,1,2,1,2,2,2,2,1,3,2,1,6,2,1,3,10010
10006590,1,2,1,1,3,3,1,1,2,3,1,4,3,4,3,10010
10006630,2,3,1,1,3,1,1,1,2,1,4,4,3,3,2,100000
10006740,3,1,1,1,1,1,1,77,3,3,1,5,2,3,3,10010
10006790,2,3,1,3,1,1,1,77,2,1,1,1,3,2,1,100000
10006800,3,1,1,1,1,1,1,1,2,3,1,4,4,3,3,10010
10006840,1,2,3,2,3,3,2,2,3,2,1,4,3,5,2,10010
10006850,2,1,1,1,1,1,3,77,2,3,5,2,1,5,3,100000
10006950,2,1,1,1,1,1,1,1,2,3,1,3,2,5,2,100000
10007000,3,3,3,3,3,3,1,77,3,3,1,2,1,4,1,100000
10007080,2,1,1,1,1,1,1,1,2,2,3,6,3,1,2,10010
10007090,2,1,1,1,1,1,1,1,2,3,1,2,4,5,3,10010
10007100,1,3,1,2,2,1,2,3,2,2,1,6,3,3,3,10010
10007130,2,3,1,3,3,1,2,1,1,2,1,4,2,1,3,10010
10007200,1,2,1,3,2,1,2,2,3,2,1,6,4,1,3,10010
10007300,3,1,1,1,1,1,1,77,2,2,1,1,1,4,3,10010
10007360,2,3,3,3,1,1,1,77,2,2,5,1,1,5,2,10010
10007470,2,1,1,1,3,1,1,1,2,1,1,8,1,5,3,100000
10007530,3,1,1,1,1,1,1,1,3,3,5,1,1,2,2,100000
10007740,3,2,3,2,3,1,1,2,2,2,1,6,3,5,3,10010
10007830,3,2,1,1,1,1,2,1,2,2,1,4,2,1,3,10010
10007840,2,3,3,3,1,1,3,1,2,2,1,5,3,5,3,10010
10008040,1,1,1,3,3,3,3,2,3,2,1,1,1,1,1,10010
10008140,4,1,1,1,1,1,1,1,2,3,1,1,1,1,3,90010
10008190,1,1,1,3,1,1,3,2,3,3,1,6,3,2,3,10010
10008220,4,3,1,2,1,1,2,1,2,3,1,5,2,1,3,90010
10008250,3,2,1,3,3,1,3,2,2,2,1,1,2,4,3,10010
10008260,4,3,3,3,3,1,1,3,3,2,5,1,1,3,2,100000
10008280,2,2,1,3,2,2,1,2,1,3,4,1,1,1,3,10010
10008300,3,1,1,1,1,1,3,77,2,3,1,8,4,5,1,80000
10008310,2,2,1,3,1,1,1,3,3,3,5,1,1,2,3,10010
10008330,1,3,2,2,2,1,2,2,3,2,1,8,1,1,3,10010
10008340,2,1,1,3,1,1,3,1,2,1,1,8,4,1,3,50000
10008370,3,2,1,2,1,1,2,3,2,2,1,8,3,1,3,10010
10008500,4,1,1,1,1,1,1,3,3,2,1,3,1,2,3,10010
10008540,2,2,1,2,3,3,2,1,2,3,1,1,3,5,3,100000
10008550,1,2,1,2,2,1,1,77,2,2,1,2,2,4,3,10010
10008600,3,2,1,3,2,1,3,3,2,2,1,5,3,5,3,10010
10008830,2,1,1,1,1,1,1,1,2,2,1,6,3,5,1,50000
10008890,2,1,1,3,1,1,1,1,2,3,1,5,3,1,3,10010
10008910,1,2,1,2,3,3,2,2,3,3,1,8,3,1,3,10010
10009000,2,1,1,1,1,1,1,1,2,1,1,7,4,1,3,100000
10009050,2,1,1,1,1,1,1,1,1,1,1,4,4,1,3,10010
10009130,2,1,1,1,1,1,1,1,2,1,1,7,4,1,2,10010
10009150,2,3,3,3,3,1,1,2,1,3,1,1,1,5,3,10010
10009190,3,3,1,1,1,1,2,1,2,1,1,4,4,1,3,100000
10009320,1,2,1,1,1,1,2,1,2,2,1,4,2,5,3,10010
10009410,1,2,3,3,3,3,2,2,2,1,1,3,2,1,3,10010
10009490,1,2,1,1,1,3,1,1,3,2,1,1,1,4,3,100000
10009510,1,3,1,2,2,1,1,1,2,2,3,1,1,2,1,10010
10009600,3,2,1,3,2,1,2,2,3,2,1,6,2,2,3,10010
10009720,2,1,1,1,1,1,1,1,2,2,1,4,4,5,2,10010
10009780,3,3,3,3,1,1,1,2,2,2,1,1,2,4,3,10010
10010030,2,2,3,2,3,3,1,1,2,1,1,4,2,5,3,10010
10010040,4,1,1,3,3,1,1,1,3,2,1,1,1,1,3,10010
10010180,1,2,2,2,1,3,3,3,3,2,1,2,1,5,3,10010
10010270,4,1,1,1,1,1,1,1,3,3,3,8,1,3,2,70000
10010370,2,3,1,3,1,1,1,1,2,3,1,3,2,5,3,10010
10010390,2,1,1,3,3,1,1,1,2,2,1,8,4,5,3,10010
10010420,1,2,1,3,3,3,3,77,3,3,1,5,1,1,3,100000
10010490,3,1,1,1,1,1,1,1,2,3,1,8,4,1,3,10010
10010540,4,2,2,3,2,2,3,77,3,2,1,2,4,2,3,10010
10010560,3,2,1,2,2,2,3,77,3,2,1,7,1,2,3,10010
10010600,2,1,1,1,1,1,3,1,2,1,1,7,4,5,3,100000
10010710,1,2,3,3,3,3,2,3,2,3,1,4,2,5,3,10010
10010760,3,2,1,1,1,1,1,1,1,3,4,1,2,4,3,10010
10010770,3,1,1,1,1,1,3,1,2,3,1,8,3,2,3,100000
10011050,1,1,3,2,1,1,2,1,3,3,1,4,2,2,2,100000
10011060,1,2,3,3,1,1,3,2,2,2,1,8,4,4,3,10010
10011340,1,2,1,1,2,2,2,77,3,2,1,7,3,5,3,10010
10011360,3,3,2,2,1,1,2,2,3,2,1,2,1,3,3,10010
10011380,3,3,1,1,1,1,3,1,3,3,1,5,1,2,3,100000
10011410,4,1,1,2,2,1,1,77,3,2,4,1,1,2,3,10010
10011530,2,1,1,1,1,1,1,1,2,3,1,8,3,3,3,10010
10011630,4,2,3,1,3,1,1,77,2,1,1,3,2,1,3,100000
10011640,3,1,1,1,1,3,3,1,2,3,1,4,2,5,3,100000
10011720,1,3,1,2,3,3,2,2,2,2,1,5,3,1,3,10010
10011740,1,2,1,2,2,1,2,3,2,2,1,8,4,2,3,10010
10011780,2,1,1,1,1,1,1,1,2,1,1,8,4,5,3,10010
10011830,3,1,1,1,1,1,3,1,2,2,3,8,3,1,1,10010
10011850,2,1,1,1,1,1,2,1,2,3,1,8,4,1,3,10010
10011990,1,2,1,2,3,3,2,3,3,2,1,8,4,1,3,10010
10012260,1,1,1,2,3,1,2,2,2,2,1,8,4,1,3,10010
10012370,2,1,1,1,1,1,3,77,2,2,1,6,1,1,2,10010
10012560,2,1,1,2,1,1,1,2,2,2,2,3,1,1,1,60000
10012600,3,2,1,2,2,1,3,77,3,2,2,2,1,1,3,10010
10012990,3,3,3,3,1,1,1,77,3,2,1,4,4,1,3,10010
10013030,1,2,3,2,1,1,1,3,3,2,4,2,1,3,3,20000
10013040,1,2,3,2,3,3,3,2,2,3,1,7,3,5,3,10010
10013060,1,3,1,2,2,1,3,2,2,2,1,6,3,3,3,10010
10013110,3,2,1,3,3,3,3,1,2,1,3,6,4,1,2,100000
10013130,3,2,2,2,3,3,1,1,3,2,2,1,4,3,3,10010
10013240,2,1,1,1,3,1,1,1,2,1,1,6,4,1,3,100000
10013260,1,1,1,1,1,1,1,1,2,3,1,8,2,5,2,10010
10013320,2,1,1,1,3,2,1,1,3,3,3,1,4,3,1,10010
10013340,1,2,1,2,2,3,2,2,2,1,1,6,2,1,3,10010
10013540,2,3,1,1,1,1,3,2,2,2,1,4,1,5,3,10010
10014080,2,3,1,1,3,1,1,1,2,2,1,6,2,5,3,10010
