P_SUID,PARTY,CHNG_A,CHNG_B,CHNG_C,DIVRELPOP,DIVRACPOP,POORASSIST,CLIM1A,SCIMPACT,RELIMPACT,RACECMB,INC_SDT1,EDUCREC,EMPLSIT,USGEN,CURREL
10266300,3,3,1,3,3,1,3,1,2,2,1,1,1,5,2,10010
10266340,3,1,1,2,1,1,3,2,2,2,1,8,3,1,3,10010
10266430,1,3,3,3,1,1,2,2,1,3,1,4,2,3,1,10010
10266460,1,1,2,2,1,1,2,3,3,3,1,6,4,5,3,10010
10266600,1,2,3,2,2,1,2,2,3,2,1,1,2,1,3,10010
10266610,3,2,1,2,1,1,2,2,3,2,3,4,2,1,2,20000
10266730,3,1,1,3,3,1,3,1,2,3,1,7,2,1,3,100000
10266820,2,3,1,3,3,1,1,77,2,2,2,4,3,1,3,10010
10266830,3,1,1,1,1,1,3,1,2,3,1,8,4,1,3,90010
10266950,2,1,1,1,1,1,3,77,2,3,1,8,3,1,3,100000
10267030,1,2,1,3,3,3,3,77,2,2,1,7,3,5,3,10010
10267060,1,3,1,2,2,3,2,2,2,2,1,8,4,1,3,10010
10267090,2,2,1,1,1,1,1,77,3,3,5,4,2,1,3,10010
10267130,2,1,1,1,1,1,1,1,2,3,1,4,4,5,3,100000
10267200,2,1,1,3,3,1,1,77,3,2,2,3,4,1,1,10010
10267410,1,2,3,2,2,1,2,2,3,2,1,1,2,5,3,10010
10267520,3,2,3,2,2,2,3,2,3,2,1,8,3,1,3,10010
10267580,2,1,1,1,1,1,1,1,3,3,5,8,3,1,1,10010
10267640,3,2,2,2,2,1,2,2,3,3,1,7,3,1,3,10010
10267840,4,1,1,1,1,1,1,1,2,1,5,5,2,1,2,100000
10267860,2,1,1,1,3,1,1,1,2,2,1,4,3,1,3,10010
10267880,3,1,1,2,3,1,3,1,2,3,1,8,4,1,3,10010
10268150,2,1,1,1,1,1,1,1,2,1,1,6,4,1,3,100000
10268450,3,2,1,2,2,1,3,2,2,2,1,5,3,5,3,10010
10268540,2,3,1,2,1,1,1,1,2,2,1,5,1,5,3,10010
10268560,1,1,1,1,3,1,1,1,2,3,1,2,2,2,2,100000
10268580,1,2,1,2,2,1,2,3,3,3,1,5,3,3,3,10010
10268630,2,1,1,1,1,1,1,1,2,2,5,1,2,3,1,10010
10268640,2,1,1,3,2,1,1,1,2,2,5,7,4,3,2,10010
10268720,3,1,1,3,1,1,3,77,3,2,1,5,3,5,3,10010
10268810,3,1,1,1,1,1,1,1,2,2,1,2,3,1,3,10010
10268820,2,3,1,1,1,1,1,1,3,3,1,1,3,5,2,100000
10268900,4,1,1,1,1,1,1,1,2,1,1,5,3,1,3,100000
10268920,1,2,1,1,1,1,2,1,3,2,1,4,3,5,3,10010
10268960,1,1,1,1,1,1,1,1,2,2,1,1,2,5,1,50000
10269000,2,3,1,1,1,1,1,1,2,3,1,1,2,1,3,100000
10269020,3,2,1,3,3,3,3,2,2,3,1,5,3,5,3,10010
10269040,3,1,1,1,1,1,3,1,2,3,1,2,2,5,3,100000
10269120,4,3,1,2,1,1,2,77,2,1,1,3,2,1,3,100000
10269150,1,2,1,2,3,3,2,2,2,3,1,5,3,1,3,10010
10269270,2,1,1,1,1,1,1,1,2,1,1,6,2,5,3,100000
10269350,4,2,3,2,1,1,2,77,2,2,2,5,2,1,3,40001
10269370,2,1,1,1,1,1,1,1,2,1,4,6,4,2,3,100000
10269480,3,2,1,1,1,1,1,1,3,2,1,5,2,1,3,10010
10269560,1,2,1,2,3,1,1,1,1,2,1,4,1,2,3,10010
10269590,3,1,1,2,2,1,2,2,2,2,1,5,3,1,3,100000
10269640,3,2,1,2,2,1,2,2,2,2,1,4,1,5,2,10010
10269760,3,3,1,1,3,1,1,77,3,2,1,2,1,5,3,10010
10269880,3,1,1,1,1,1,1,1,2,1,1,7,4,5,3,50000
10269890,1,2,1,3,3,1,2,77,2,3,1,5,3,1,3,10010
10270000,2,2,1,1,1,1,1,1,2,1,1,1,1,3,2,100000
10270090,2,1,1,1,1,1,1,1,2,1,1,6,4,1,3,100000
10270100,1,3,3,2,1,1,3,2,2,2,1,6,2,3,3,10010
10270150,3,1,1,1,3,1,3,2,3,3,2,4,4,1,2,10010
10270210,2,1,1,1,1,1,1,1,2,1,4,8,2,3,3,100000
10270350,2,2,1,1,1,1,1,1,2,2,1,1,1,4,3,10010
10270370,2,2,1,1,1,1,3,1,2,1,1,7,1,5,3,100000
10270480,2,1,1,1,1,1,3,2,3,3,1,7,4,1,3,10010
10270500,1,1,1,3,3,3,2,77,2,2,1,8,4,5,3,10010
10270510,3,1,1,1,1,1,3,1,2,2,1,2,4,5,3,10010
10270680,1,2,1,2,2,2,2,3,2,2,1,8,2,5,3,10010
10270700,2,1,1,1,1,1,1,1,2,3,1,8,4,1,3,50000
10270730,3,1,1,2,1,1,1,3,3,3,2,7,4,2,1,10010
10270930,2,2,1,1,2,1,1,2,2,2,1,1,2,2,3,10010
10270960,1,2,1,3,1,1,2,2,3,3,1,8,4,1,3,10010
10270980,1,3,1,2,1,1,2,1,3,2,1,8,4,1,3,10010
10271040,1,2,3,3,2,3,1,77,2,3,1,4,2,1,3,10010
10271150,2,1,1,1,1,1,1,1,2,1,1,7,2,1,3,100000
10271200,2,1,1,1,3,1,3,77,3,3,1,8,1,1,2,10010
10271330,2,1,1,2,2,1,1,2,2,2,5,1,1,5,1,10010
10271380,1,2,1,3,1,1,1,77,3,3,1,7,3,3,3,10010
10271410,3,3,1,2,1,1,3,77,3,2,1,1,1,2,3,10010
10271540,2,3,1,1,3,1,1,1,2,1,3,8,4,1,2,10010
10271820,1,2,1,2,1,1,2,2,3,3,1,1,1,5,3,10010
10271940,2,3,1,1,1,1,3,1,1,3,1,4,4,5,3,100000
10272090,4,3,1,2,1,2,1,1,3,3,1,2,2,1,2,100000
10272190,3,1,1,1,1,1,1,1,2,1,1,4,2,1,3,100000
10272420,1,2,1,2,2,1,2,1,2,2,1,8,4,1,3,10010
10272430,1,2,1,2,2,2,3,2,1,2,1,2,1,5,3,10010
10272470,2,2,1,1,1,1,1,1,2,2,1,3,2,5,3,10010
10272480,3,1,1,1,1,1,2,1,2,1,3,6,4,5,1,70000
10272510,2,2,2,2,1,1,1,1,2,2,3,6,4,1,1,10010
10272760,1,2,2,2,2,2,2,3,3,3,1,5,2,3,3,10010
10272800,1,2,3,3,2,3,2,3,1,2,1,7,3,1,3,10010
10272830,2,2,1,1,1,1,3,1,3,3,1,4,2,5,3,10010
10272850,1,3,1,1,1,1,1,1,2,3,1,7,3,1,3,10010
10272860,3,3,3,3,3,3,3,1,3,3,1,1,1,5,3,10010
10272870,2,3,3,3,1,1,3,1,2,2,1,2,1,5,3,10010
10272880,1,2,3,1,2,1,3,1,2,2,1,8,3,5,3,10010
10272890,2,1,1,2,3,1,1,77,2,2,1,1,2,1,2,60000
10273080,2,1,1,1,1,1,1,1,2,3,1,1,3,2,3,100000
10273140,3,2,1,1,3,1,1,77,2,2,1,1,1,5,3,10010
10273200,1,2,2,2,1,3,3,2,3,1,1,4,4,5,3,20000
10273240,2,1,1,1,2,1,2,1,2,2,1,4,3,5,3,10010
10273370,2,1,1,1,1,1,3,1,2,1,1,8,3,5,3,50000
10273380,2,2,1,2,2,1,1,77,2,2,2,8,4,1,3,10010
10273400,1,2,1,2,1,1,3,2,1,2,1,4,2,1,3,10010
10273420,1,3,3,2,2,3,2,2,2,2,1,2,2,5,3,10010
10273440,2,1,1,1,1,1,1,1,2,2,1,8,3,5,1,100000
10273450,1,2,1,2,2,3,2,2,3,2,1,4,2,3,3,10010
10273460,2,3,1,2,3,1,1,2,3,3,1,2,1,2,3,10010
10273510,3,2,1,3,3,1,3,2,2,3,1,1,2,5,3,10010
10273650,3,3,1,1,1,1,1,2,3,3,1,1,2,4,3,100000
10273680,2,3,1,1,1,1,3,1,2,3,5,4,2,1,1,100000
10273780,2,1,1,1,1,1,1,1,2,1,1,4,3,1,3,100000
10273800,4,1,1,1,1,1,1,1,2,3,5,1,2,1,2,100000
10273900,3,2,3,2,2,3,2,2,3,2,1,4,1,5,3,10010
10273970,4,2,1,1,2,1,1,2,2,1,3,6,3,1,2,100000
10274040,2,2,1,2,1,1,1,77,3,3,1,2,1,4,3,100000
10274050,2,2,2,2,2,2,3,1,2,1,2,5,4,5,3,100000
10274110,1,3,1,2,3,1,3,77,2,2,1,8,2,1,3,100000
10274150,1,2,1,1,3,1,2,2,2,3,1,2,2,5,3,100000
10274180,1,1,1,1,1,1,3,1,2,1,1,8,3,1,3,100000
10274210,1,2,2,2,3,3,2,3,3,3,1,1,2,5,3,10010
10274380,1,1,2,2,2,1,3,2,3,2,3,2,2,5,1,10010
10274450,1,1,3,1,1,1,3,1,2,2,3,8,3,1,1,100000
10274470,1,3,3,3,3,3,1,1,3,3,5,3,1,1,1,90010
10274480,3,1,1,1,1,1,1,1,3,2,1,7,4,1,3,10010
10274620,2,1,1,3,2,2,2,1,2,3,4,6,3,1,3,100000
10274640,3,1,1,3,1,1,1,1,2,2,1,4,2,1,3,10010
10274670,2,1,1,1,1,1,1,1,2,2,1,7,3,5,3,10010
10274740,2,1,1,1,1,1,1,1,2,3,1,8,3,1,3,100000
10274860,2,2,1,1,3,1,1,77,2,2,2,1,1,4,3,10010
10274890,1,3,1,3,3,3,2,2,3,2,1,6,3,1,3,10010
10274940,1,2,1,1,1,1,2,77,2,1,4,1,2,3,3,100000
10275000,3,1,1,3,1,1,1,2,2,2,3,7,3,1,1,100000
10275030,2,3,1,3,3,1,1,1,2,2,1,5,2,5,3,10010
10275060,1,2,1,2,2,3,2,2,3,2,1,4,2,2,3,10010
10275290,2,1,1,3,1,1,3,1,2,2,1,3,3,5,3,10010
10275310,1,2,1,2,2,1,2,3,2,2,3,8,3,1,1,10010
10275370,4,1,1,1,1,1,2,1,2,2,2,1,1,1,3,10010
10275460,1,2,2,2,2,3,2,3,3,3,4,6,2,1,3,10010
10275550,2,3,1,1,3,1,1,1,2,3,1,4,2,1,3,10010
10275560,2,1,1,1,1,1,3,1,3,3,1,5,2,1,3,100000
10275570,4,3,1,3,1,1,1,1,2,1,1,4,2,1,3,100000
10275580,2,2,3,2,1,1,3,77,3,2,1,8,2,5,3,10010
10275590,2,1,1,1,1,1,1,1,2,1,1,1,4,2,3,100000
10275600,2,1,1,1,3,1,1,1,2,3,1,4,4,5,3,100000
10275650,3,2,3,3,1,1,2,3,2,2,1,6,2,1,2,10010
10275790,3,1,1,1,1,1,3,77,2,1,1,3,3,1,3,100000
10275950,1,2,1,2,3,3,2,3,3,1,1,6,3,2,3,10010
10275960,4,1,1,2,3,1,1,1,2,3,1,8,3,1,3,100000
10276000,2,3,1,3,3,2,3,3,3,1,1,3,2,5,3,10010
10276040,2,1,1,3,1,1,1,1,2,3,1,2,2,5,3,10010
10276090,1,2,1,2,1,1,3,2,2,2,1,8,2,5,3,10010
10276150,1,3,3,3,3,2,3,2,3,2,1,3,2,4,3,10010
10276230,1,2,2,2,2,2,2,2,3,2,1,1,1,5,3,10010
10276340,2,1,1,1,1,1,1,1,2,1,1,8,4,5,1,100000
10276400,2,3,1,1,1,1,1,1,2,1,1,2,3,1,3,100000
10276440,3,2,1,2,1,1,2,3,3,3,1,5,3,1,3,10010
10276450,2,1,1,1,1,1,1,1,2,1,1,6,4,5,3,90010
10276610,2,2,1,3,3,3,1,77,3,3,5,4,2,5,3,100000
10276760,2,1,1,1,1,1,1,1,2,1,1,8,4,1,3,10010
10276800,2,2,1,2,3,2,3,1,2,2,2,2,1,5,3,10010
10276810,2,1,1,1,1,1,1,1,2,1,3,6,3,1,2,100000
10276840,1,2,1,3,3,3,2,2,2,2,1,4,2,3,3,10010
10276850,1,2,1,3,1,1,1,2,3,3,5,1,1,2,3,10010
10276930,1,2,3,2,2,1,2,77,3,2,1,7,3,5,3,10010
10276980,2,1,1,2,1,1,3,1,2,2,2,5,3,5,3,10010
10277050,2,1,1,1,3,1,1,1,2,1,1,8,4,2,2,100000
10277110,1,2,1,1,1,1,1,3,2,2,1,3,2,5,3,10010
10277140,2,1,1,1,1,1,1,1,2,1,1,5,2,1,3,100000
10277360,1,2,1,2,3,1,1,2,2,2,1,5,1,1,3,10010
10277420,3,1,1,1,1,1,3,1,2,1,1,6,2,5,3,100000
10277430,3,2,3,2,2,2,1,2,2,2,1,1,1,1,3,100000
10277500,1,3,1,2,1,1,1,1,3,3,5,3,3,1,2,10010
10277610,2,1,1,1,1,1,1,1,2,1,1,6,3,1,3,100000
10277670,1,1,1,1,3,3,2,77,3,2,1,8,4,3,3,10010
10277760,2,1,1,1,1,1,1,1,1,2,1,8,4,1,3,100000
10277800,2,3,1,1,1,1,3,1,2,3,1,5,4,5,3,10010
10277820,1,2,3,2,2,3,3,3,3,2,1,5,1,1,3,10010
10277840,1,2,1,2,3,3,3,3,3,3,1,1,1,5,3,10010
10278060,3,1,1,3,1,1,1,1,3,3,1,1,1,2,3,100000
10278080,2,3,1,1,3,1,1,1,3,3,1,2,2,1,2,10010
10278140,3,1,1,1,1,1,3,1,2,3,1,6,3,5,3,10010
10278150,1,3,3,2,2,1,3,1,2,2,1,4,2,1,2,20000
10278180,3,2,2,2,3,3,1,1,1,2,5,1,2,4,2,10010
10278240,3,3,2,2,2,1,1,1,3,3,5,1,2,3,2,10010
10278270,2,2,1,1,3,1,3,1,2,3,2,7,3,5,3,10010
10278350,2,3,1,1,1,1,3,1,2,1,4,8,3,3,2,100000
10278370,3,3,1,2,3,1,2,2,2,1,1,8,3,1,3,100000
10278380,1,2,1,2,2,2,2,3,1,2,1,5,2,2,3,10010
10278620,3,2,1,2,3,3,2,2,3,2,1,1,2,5,3,10010
10278690,3,2,1,2,3,1,1,77,2,3,1,2,1,1,3,100000
10278720,3,3,1,1,1,1,3,1,2,1,1,7,2,5,3,100000
10278810,2,1,1,1,1,1,1,1,2,3,1,8,4,1,3,10010
10278820,4,2,1,2,3,1,3,77,3,2,4,5,2,1,3,10010
10278960,4,2,1,1,3,2,1,77,2,2,1,1,1,2,3,100000
10279040,3,3,2,2,1,3,2,2,2,2,1,4,2,5,3,10010
10279130,3,2,1,2,1,3,2,2,2,2,1,8,3,1,3,10010
10279240,3,3,3,3,1,1,3,77,2,2,1,1,1,3,3,100000
10279260,3,1,1,1,1,1,1,1,2,1,1,3,4,2,3,100000
10279300,2,3,1,1,1,1,3,1,3,3,1,8,4,1,2,10010
10279310,3,2,1,3,3,3,2,2,2,2,1,4,4,5,3,10010
10279350,3,1,1,1,1,1,1,1,2,3,1,7,3,3,3,50000
10279460,2,3,1,1,1,1,3,1,2,2,1,8,3,1,1,10010
10279480,1,3,2,2,2,1,2,2,2,2,1,1,2,2,3,10010
10279500,3,1,1,3,2,1,1,1,2,3,1,4,3,1,3,10010
10279520,2,1,1,1,1,1,1,1,2,3,1,6,3,1,3,10010
10279600,2,1,1,1,1,1,1,1,2,3,4,4,3,1,3,100000
10279810,1,3,1,1,1,1,2,1,2,2,1,1,3,1,3,10010
10279970,3,2,1,2,2,1,2,3,3,2,1,4,3,5,3,10010
10280110,1,3,1,2,2,1,2,77,2,2,1,8,3,1,3,10010
10280180,3,3,1,3,3,3,1,77,2,2,1,8,1,3,3,100000
10280220,3,3,1,3,1,1,3,1,2,2,1,8,3,1,3,10010
10280300,2,1,1,1,1,1,1,77,1,2,2,3,2,1,3,10010
10280320,1,1,1,1,1,1,1,2,1,2,1,4,3,3,1,10010
10280400,1,2,3,2,1,1,2,3,2,2,1,8,3,1,3,20000
10280410,2,1,1,1,2,1,1,2,1,2,2,2,1,2,2,10010
10280420,2,3,1,1,1,1,3,1,2,1,1,8,3,5,3,100000
10280580,3,3,2,2,1,1,1,2,3,3,4,2,1,1,3,100000
10280680,2,1,1,1,1,1,1,1,2,3,1,3,4,5,3,90010
10280890,3,1,1,1,1,1,3,1,2,2,4,3,2,3,1,100000
10280930,1,1,1,1,1,1,1,3,2,2,1,4,2,5,3,10010
10280940,3,3,1,3,3,1,2,1,3,3,1,8,3,1,3,10010
10281080,1,1,1,2,3,1,1,77,1,1,3,8,3,3,1,10010
10281140,2,2,1,2,1,1,1,1,2,1,4,8,4,1,3,60000
10281160,1,1,3,2,3,1,2,2,1,2,1,8,3,2,3,10010
10281240,2,3,3,2,2,3,1,1,2,2,1,6,2,5,1,10010
10281260,1,2,1,1,1,1,2,77,3,3,1,4,3,1,3,10010
10281270,1,1,1,3,1,1,3,2,2,2,1,5,4,5,3,10010
10281320,1,1,1,2,1,1,2,77,3,3,1,5,4,5,3,10010
10281350,3,1,1,1,1,1,1,1,2,2,1,7,4,5,3,100000
10281370,1,2,1,3,3,3,2,77,3,1,1,1,2,5,3,10010
10281390,2,1,1,1,1,1,3,2,2,2,1,5,2,1,2,10010
10281450,1,2,3,2,3,2,1,77,3,2,1,2,2,1,3,10010
10281550,1,1,1,1,1,1,1,77,2,3,3,6,3,1,2,10010
10281670,3,1,1,2,1,1,1,77,3,3,1,1,2,1,3,100000
10281690,1,2,1,2,2,3,3,1,2,2,1,1,2,5,2,10010
10281750,2,1,1,1,1,1,1,1,2,2,1,5,4,5,1,100000
10281900,2,1,1,1,1,1,1,1,2,1,1,5,3,1,3,100000
10281970,2,1,1,1,3,1,2,1,2,1,1,8,2,1,3,100000
10282190,1,3,1,2,2,1,3,77,2,2,1,8,3,1,3,10010
10282360,3,1,1,3,1,1,1,1,3,1,1,1,4,5,3,100000
10282460,2,1,1,1,1,1,3,1,2,1,1,8,3,1,3,10010
10282560,1,2,2,2,2,3,2,2,3,3,1,1,2,4,3,10010
10282660,2,1,1,1,1,1,1,1,2,3,1,8,4,1,3,10010
10282670,3,3,1,3,1,1,1,77,3,3,3,8,3,1,1,60000
10282710,3,3,1,3,1,1,3,1,2,2,1,4,3,5,3,10010
10282740,2,1,1,1,1,1,3,1,2,3,1,6,2,5,3,100000
10282750,3,2,2,3,2,2,2,2,3,3,1,7,4,5,3,100000
10282760,2,1,1,1,1,1,3,1,2,1,1,7,4,2,1,100000
10282930,2,3,1,1,3,1,3,77,3,3,2,4,2,1,3,10010
10282960,2,1,1,1,1,1,1,2,2,2,1,1,2,4,3,80000
10283040,3,1,1,1,3,1,2,2,2,3,1,6,4,1,3,10010
10283130,1,3,1,1,3,3,1,1,3,3,4,2,3,1,3,10010
10283150,3,3,3,1,3,3,1,1,1,3,1,1,2,5,3,10010
10283170,2,3,1,1,1,1,1,1,2,3,1,7,4,1,2,100000
10283220,1,2,1,2,1,1,2,3,2,2,1,8,3,1,3,10010
10283230,1,2,2,3,2,3,1,2,3,3,1,5,3,1,3,10010
10283330,3,1,1,2,1,1,2,2,2,2,1,4,3,2,3,10010
10283350,2,2,1,2,3,1,1,2,3,3,2,1,2,1,3,100000
10283400,3,3,1,1,1,1,3,1,2,1,1,6,4,3,3,100000
10283520,4,3,1,3,1,1,3,1,3,3,1,1,1,3,3,100000
10283540,1,3,2,3,1,1,1,1,2,2,2,5,3,1,3,10010
10283580,3,2,3,2,3,2,2,1,2,2,3,7,3,1,1,100000
10283630,2,1,1,1,1,1,3,2,2,2,3,7,4,1,1,10010
10283670,2,2,1,2,1,1,1,1,2,2,2,6,3,5,3,10010
10283690,1,1,1,1,2,1,1,77,1,2,1,5,1,3,1,10010
10283710,2,2,1,1,1,1,1,1,2,2,1,8,4,5,3,10010
10283720,3,3,1,3,2,3,1,1,3,2,2,1,1,5,3,10010
10283750,3,2,1,2,3,3,2,3,3,3,1,8,2,1,3,100000
10283840,2,3,1,1,1,1,1,1,3,3,4,4,4,4,3,10010
10283950,4,1,1,1,1,1,1,1,2,1,5,6,3,1,3,100000
10283990,2,2,3,1,1,1,1,1,3,3,1,5,3,1,3,100000
10284040,1,2,2,2,2,1,3,3,3,2,1,4,3,3,3,10010
10284080,1,2,2,2,3,3,2,3,2,2,1,1,1,1,3,10010
10284140,1,2,1,2,2,3,2,2,2,2,1,7,2,2,2,10010
10284160,2,1,1,1,1,1,1,1,3,3,2,4,3,1,2,100000
10284220,1,2,1,1,3,2,1,1,3,3,1,1,2,5,3,10010
10284390,3,1,1,1,1,1,1,1,2,1,1,4,3,1,3,90010
10284410,2,1,1,1,3,1,1,1,2,1,1,8,3,1,2,100000
10284460,1,2,1,2,2,1,2,2,1,2,1,8,2,3,3,10010
10284530,2,1,3,3,3,3,1,3,3,3,5,4,1,5,3,10010
10284600,1,1,2,1,1,1,2,1,2,2,1,8,4,1,3,100000
10284690,1,1,1,2,1,1,2,3,2,3,3,8,4,1,1,100000
10284700,3,1,1,1,1,1,3,1,2,3,1,5,3,5,3,100000
10284890,2,1,1,1,1,1,1,1,2,1,1,4,2,1,3,100000
10284920,1,2,3,2,3,1,1,3,3,3,2,8,2,1,3,100000
10284930,1,1,1,2,1,1,1,1,1,3,1,1,3,3,1,10010
10284980,2,1,1,1,1,1,1,1,2,1,1,1,3,4,3,90010
10285040,3,2,1,3,3,1,3,2,3,2,5,8,3,3,3,100000
10285060,3,1,1,1,1,1,3,1,2,1,1,6,3,1,3,100000
10285100,1,2,1,2,3,3,1,2,2,3,1,5,2,1,3,100000
10285270,2,2,3,2,2,3,1,77,3,2,2,1,1,5,3,10010
10285280,3,2,1,2,1,1,2,2,2,2,1,7,1,1,3,10010
10285540,1,3,1,3,1,1,3,2,3,2,1,8,2,1,3,10010
10285580,3,1,2,2,2,1,3,1,3,2,5,4,2,5,1,10010
10285620,3,2,3,2,2,1,2,2,2,2,1,2,3,2,3,10010
10285650,3,2,3,2,2,2,2,3,3,3,3,7,1,1,2,10010
10285770,3,3,3,3,3,3,3,1,3,3,1,1,1,5,1,100000
10285810,3,1,1,2,1,1,2,2,3,3,3,5,3,1,1,100000
10285960,1,2,1,2,2,2,2,3,3,2,1,4,2,1,3,10010
10286110,4,2,1,2,2,1,1,1,2,2,1,6,3,1,3,10010
10286260,4,1,1,1,1,1,1,1,2,1,1,2,2,1,3,100000
10286270,2,1,1,1,3,1,1,1,3,3,4,5,3,1,2,100000
10286300,4,2,1,2,1,1,2,2,3,3,1,8,3,5,3,10010
10286350,2,1,1,1,3,1,1,1,2,3,1,3,2,1,3,100000
10286380,3,3,1,2,3,3,2,77,3,3,1,2,2,3,3,100000
10286410,3,2,1,3,1,3,2,2,2,1,1,8,3,1,3,100000
10286420,2,1,1,1,3,1,3,1,2,3,3,8,3,1,1,100000
10286640,2,3,1,1,1,1,1,1,2,3,1,6,4,5,3,50000
10286650,2,1,1,1,1,1,1,1,2,1,5,8,4,1,1,100000
10286670,2,1,1,1,1,1,1,1,2,1,1,8,4,5,3,100000
10286920,1,2,3,2,2,2,2,3,1,2,1,1,2,5,3,10010
10286980,1,2,1,2,1,3,2,77,3,2,1,1,1,2,3,10010
10287050,3,2,3,2,2,2,2,2,3,1,1,4,3,1,3,70000
10287090,3,3,3,3,3,1,3,2,3,3,3,1,2,3,2,10010
10287160,3,3,1,3,1,1,3,77,2,3,1,4,2,1,3,10010
10287350,1,2,3,1,3,3,2,3,3,3,1,2,2,1,3,10010
10287530,1,2,1,3,1,1,2,2,2,2,1,7,3,1,3,100000
10287570,2,1,1,1,1,1,1,1,2,3,1,5,4,5,3,50000
10287580,1,3,1,1,1,1,2,2,2,1,1,4,2,1,2,90010
10287590,1,2,3,2,3,3,1,1,2,2,1,1,2,2,3,10010
10287600,3,2,1,2,2,2,3,1,2,2,1,3,4,5,3,10010
10287670,1,2,3,2,2,3,3,3,3,2,1,4,2,5,3,10010
10287940,4,2,1,1,1,1,3,1,3,3,2,1,3,1,3,90010
10287980,2,2,1,1,1,1,1,1,2,3,3,4,4,1,1,100000
10288010,1,2,1,2,2,1,2,77,3,3,1,3,2,4,3,100000
10288050,1,1,1,2,2,1,2,2,3,3,1,5,4,2,3,10010
10288080,2,1,1,1,1,1,1,1,2,3,1,8,4,5,3,50000
10288100,1,2,3,2,2,3,2,2,2,2,1,1,2,5,3,10010
10288190,3,1,1,1,1,1,3,1,2,3,1,5,3,5,3,100000
10288220,3,2,3,2,3,1,2,3,3,2,1,4,1,1,3,10010
10288250,2,1,1,1,1,1,3,1,2,2,2,8,4,1,3,10010
10288330,2,3,1,3,1,1,1,77,1,2,2,1,2,5,3,10010
10288540,2,1,1,3,1,1,1,1,2,3,1,4,2,2,3,100000
10288560,2,1,1,1,1,1,1,1,2,1,1,4,2,1,3,10010
10288590,2,1,1,3,1,1,1,1,2,3,1,7,3,5,3,100000
10288620,1,2,1,1,3,3,3,1,3,3,1,8,3,3,3,10010
10288640,2,3,1,3,1,1,3,1,2,2,1,1,3,5,1,10010
10288810,3,3,1,1,3,1,1,77,3,1,1,1,1,4,3,90010
10288820,3,1,1,1,1,1,1,1,1,3,1,4,3,1,2,10010
10288860,2,1,1,3,1,1,1,1,2,1,1,4,4,3,3,100000
10288930,2,1,1,1,1,1,1,1,2,1,2,8,4,1,3,100000
10288960,2,1,1,1,1,1,1,1,2,1,1,5,3,1,3,100000
10289070,1,2,1,2,1,1,2,77,2,2,1,8,4,1,3,100000
10289140,2,1,1,1,1,1,1,1,2,1,1,6,4,1,3,100000
10289160,2,1,1,1,1,1,1,1,2,1,1,7,2,5,2,100000
10289330,1,2,1,1,3,1,2,2,3,3,1,8,2,5,3,50000
10289420,2,2,1,1,1,1,1,1,2,1,3,4,3,1,2,70000
10289440,3,2,3,2,2,1,2,1,2,1,1,8,4,1,3,50000
10289520,4,2,1,1,3,3,2,1,2,2,1,8,3,1,3,100000
10289570,3,3,1,1,3,3,1,2,3,3,3,8,4,5,1,80000
10289640,1,1,1,1,1,1,1,1,2,2,2,8,3,1,1,10010
10289660,2,2,3,2,1,1,1,1,3,3,1,3,4,4,3,10010
10289680,2,1,1,1,1,1,1,1,2,1,1,4,3,1,3,100000
10289790,4,1,1,1,1,1,1,1,2,2,1,3,4,5,3,100000
10289840,2,1,1,1,1,1,1,1,2,3,1,3,2,5,3,10010
10289900,2,3,1,1,1,1,3,1,2,3,1,6,3,5,3,100000
10289980,2,1,1,1,1,1,1,1,2,2,1,5,3,5,3,10010
10289990,3,1,1,1,1,1,1,1,2,3,1,1,4,1,1,100000
10290050,2,1,1,1,3,1,1,1,2,2,3,8,3,1,1,10010
10290060,1,2,1,2,1,1,1,2,3,3,3,5,3,1,1,10010
10290100,2,1,1,3,1,1,2,1,2,3,1,8,3,1,3,10010
10290320,3,2,2,2,1,1,2,2,2,2,4,8,4,1,3,100000
10290330,2,1,1,1,1,1,1,1,2,1,1,4,3,1,3,70000
10290450,2,3,1,3,3,3,1,77,2,3,5,1,1,5,3,10010
10290570,3,3,1,1,3,3,1,1,3,3,1,2,2,3,2,100000
10290580,3,3,3,2,1,1,3,1,2,1,1,5,3,1,3,100000
10290600,1,2,1,2,3,1,1,77,2,2,1,5,4,5,3,10010
10290680,3,3,1,3,1,1,2,2,3,3,1,6,4,5,3,10010
10290730,2,2,1,3,1,1,1,1,2,2,2,1,2,2,3,50000
10290790,3,3,1,1,1,1,1,1,2,3,1,1,2,2,3,90010
10290800,2,3,1,1,1,1,3,1,3,3,1,3,4,2,3,90010
10290900,3,1,1,2,1,1,1,1,2,3,1,8,3,1,3,70000
10291220,1,2,1,2,1,1,2,2,3,2,4,7,3,1,3,10010
10291360,2,1,1,1,2,1,1,1,2,1,1,5,4,1,3,100000
10291440,2,1,1,2,1,1,3,1,3,3,4,4,2,1,3,10010
10291590,1,2,1,3,1,1,1,77,3,2,1,4,1,4,3,10010
10291640,3,2,1,1,2,3,2,77,3,3,1,4,3,5,2,10010
10291800,2,1,1,1,1,1,3,1,2,1,1,6,4,1,1,10010
10291910,2,1,1,3,1,1,1,1,2,1,1,8,4,3,3,100000
10291930,1,1,1,3,3,1,2,1,2,3,1,8,4,1,3,10010
10292020,3,3,1,2,1,1,3,1,2,1,1,7,4,1,3,100000
