id,questionId,partyName,incCode,eduCode,x,y
10000040,CHNG_B,Republican,2,2,1402.698618586497,21.400556399417397
10000040,CHNG_A,Republican,2,2,756.5112198118137,274.2512395025571
10000040,SCIMPACT,Republican,2,2,1382.8621507580228,445.2643552433503
10000240,CHNG_B,Independent,4,2,1060.3823545373261,36.581271788311106
10000240,CHNG_A,Independent,4,2,1026.0923188700865,262.8112497695214
10000240,SCIMPACT,Independent,4,2,381.4065977028007,422.20642476628535
10000500,CHNG_B,Democrat,1,4,301.93596697699206,176.0260686246705
10000500,CHNG_A,Democrat,1,4,459.2849279043096,337.6698434042329
10000500,SCIMPACT,Democrat,1,4,1135.439093859761,541.0159310190973
10000680,CHNG_B,Independent,1,2,505.7009343635444,1.35
10000680,CHNG_A,Independent,1,2,985.1097929623226,231.9592178055242
10000680,SCIMPACT,Independent,1,2,1061.9859330428865,389.1810682911878
10001200,CHNG_B,Democrat,1,3,312.82901382566706,113.931953942428
10001200,CHNG_A,Democrat,1,3,1603.2944258336886,306.90344916523765
10001200,SCIMPACT,Democrat,1,3,1611.3464969858262,523.2978625126142
10001530,CHNG_B,Other,4,3,236.0294985839403,137.75825182590035
10001530,CHNG_A,Other,4,3,1414.9553339195904,320.11134721100393
10001530,SCIMPACT,Other,4,3,855.3928639842466,500.74354431776476
10001770,CHNG_B,Independent,2,1,1614.836461449478,42.42911137619436
10001770,CHNG_A,Independent,2,1,1614.2310514445244,246.55126393732414
10001770,SCIMPACT,Independent,2,1,1599.7961505050703,420.7503990191438
10001940,CHNG_B,Independent,1,2,1059.4724293502377,40.21874373380484
10001940,CHNG_A,Independent,1,2,472.06255580430616,220.70496712621753
10001940,SCIMPACT,Independent,1,2,1602.223111135395,431.460195378117
10002220,CHNG_B,Republican,1,2,274.01951914604007,33.590973152502464
10002220,CHNG_A,Republican,1,2,743.1118644683855,265.39835017255643
10002220,SCIMPACT,Republican,1,2,159.638662571592,412.9182184934232
10002760,CHNG_B,Other,5,3,235.2179204276816,130.1968780308182
10002760,CHNG_A,Other,5,3,849.3427611641372,316.38768761140625
10002760,SCIMPACT,Other,5,3,1419.8392722925453,492.89603816733074
10003080,CHNG_B,Democrat,8,4,291.9688107522816,135.28351616225845
10003080,CHNG_A,Democrat,8,4,327.9443637294463,362.44831932773104
10003080,SCIMPACT,Democrat,8,4,949.1813524913155,531.3649246449605
10003400,CHNG_B,Independent,4,2,508.24999161207154,32.657920024972164
10003400,CHNG_A,Independent,4,2,430.05322813976,263.5077772723516
10003400,SCIMPACT,Independent,4,2,1123.98964200584,403.10932374847806
10003870,CHNG_B,Democrat,2,1,1640.1029086487579,148.7246164668252
10003870,CHNG_A,Democrat,2,1,1597.4493207168289,322.706260404354
10003870,SCIMPACT,Democrat,2,1,384.7765240869255,505.0257345034051
10004430,CHNG_B,Republican,8,4,1397.8002746361176,37.15910174742742
10004430,CHNG_A,Republican,8,4,1442.5508337539316,191.6164726735667
10004430,SCIMPACT,Republican,8,4,752.282230111285,397.2765303217032
10004960,CHNG_B,Other,7,2,203.60314226996837,137.75546240374916
10004960,CHNG_A,Other,7,2,790.3696128719581,308.4672867764031
10004960,SCIMPACT,Other,7,2,801.764239140287,544.348165897147
10005210,CHNG_B,Independent,5,3,376.9530507771502,37.57837572468702
10005210,CHNG_A,Independent,5,3,454.1506606429932,262.3301857829303
10005210,SCIMPACT,Independent,5,3,1632.529279730777,457.1775112312776
10005550,CHNG_B,Other,5,2,144.13811650031175,117.84146817350256
10005550,CHNG_A,Other,5,2,1416.309110199583,326.4637573045655
10005550,SCIMPACT,Other,5,2,856.9849131456625,522.0121998219767
10005760,CHNG_B,Independent,5,2,1042.3211343652822,55.25204202120244
10005760,CHNG_A,Independent,5,2,980.5032641898997,212.6241177429078
10005760,SCIMPACT,Independent,5,2,1710.4656904086457,407.01429356470163
10006040,CHNG_B,Independent,6,4,459.1673992836222,20.50181988999996
10006040,CHNG_A,Independent,6,4,1054.157977972915,185.5516806722689
10006040,SCIMPACT,Independent,6,4,1003.2365755443188,372.3937687746801
10006240,CHNG_B,Democrat,3,2,304.7677314134028,149.8505895677957
10006240,CHNG_A,Democrat,3,2,302.36475962144135,333.46510747128195
10006240,SCIMPACT,Democrat,3,2,1124.594975212213,463.0622397475812
10006360,CHNG_B,Republican,2,1,1451.6630588334401,75.74877293354368
10006360,CHNG_A,Republican,2,1,914.5091755027423,236.01036284418754
10006360,SCIMPACT,Republican,2,1,1471.8287014906127,444.66835698135407
10006580,CHNG_B,Republican,6,2,158.2524618168265,103.30427307514584
10006580,CHNG_A,Republican,6,2,815.3705167264015,191.01776936341344
10006580,SCIMPACT,Republican,6,2,1376.2600693908462,425.5263147211858
10006790,CHNG_B,Democrat,1,3,521.2002576182025,148.72578116924814
10006790,CHNG_A,Democrat,1,3,1618.3065707150226,352.2496273970953
10006790,SCIMPACT,Democrat,1,3,1130.573439518678,524.8391051210886
10006950,CHNG_B,Democrat,3,2,308.2518436032244,178.2466386554622
10006950,CHNG_A,Democrat,3,2,474.6398019555622,305.78749925692205
10006950,SCIMPACT,Democrat,3,2,999.9422609646957,546.65
10007100,CHNG_B,Republican,6,3,225.05520642108453,100.96417194996987
10007100,CHNG_A,Republican,6,3,1401.8575315831317,234.4764387338848
10007100,SCIMPACT,Republican,6,3,834.1049295506222,369.75336134453784
10007360,CHNG_B,Democrat,1,1,1689.94648196329,134.837283242236
10007360,CHNG_A,Democrat,1,1,1603.5487076904299,310.6443373701638
10007360,SCIMPACT,Democrat,1,1,948.6969451746131,463.79620178650464
10007830,CHNG_B,Independent,4,2,516.2993251555683,19.98703286038713
10007830,CHNG_A,Independent,4,2,1002.0709314637081,256.7610096627323
10007830,SCIMPACT,Independent,4,2,1082.2399665667153,394.4885452147713
10008190,CHNG_B,Republican,6,3,197.50484275952604,89.47411713057267
10008190,CHNG_A,Republican,6,3,226.076713876255,233.36107932836524
10008190,SCIMPACT,Republican,6,3,1403.305323924598,394.06106551037146
10008280,CHNG_B,Democrat,1,1,508.34296222827106,152.31609812058358
10008280,CHNG_A,Democrat,1,1,1029.0887097230043,281.34692179696503
10008280,SCIMPACT,Democrat,1,1,379.6773763475846,510.5245530336183
10008340,CHNG_B,Democrat,8,4,464.37427243430704,96.23657670356506
10008340,CHNG_A,Democrat,8,4,348.8051595555135,353.30190025782724
10008340,SCIMPACT,Democrat,8,4,920.9467145236455,513.0685310612822
10008550,CHNG_B,Republican,2,2,146.94425920305918,21.933178468040666
10008550,CHNG_A,Republican,2,2,908.3176567990035,234.15847437713407
10008550,SCIMPACT,Republican,2,2,781.2864245503963,374.3464900026248
10008910,CHNG_B,Republican,8,3,127.97477577647172,69.47082079155852
10008910,CHNG_A,Republican,8,3,818.410522896344,268.8274992680689
10008910,SCIMPACT,Republican,8,3,1478.2526895127214,460.48278081311156
10009150,CHNG_B,Democrat,1,1,1691.3280709823844,138.32296250691454
10009150,CHNG_A,Democrat,1,1,1602.092999627404,331.47359551823615
10009150,SCIMPACT,Democrat,1,1,421.6714876435957,503.4427828057033
10009490,CHNG_B,Republican,1,1,247.3511793146173,80.84839096915525
10009490,CHNG_A,Republican,1,1,909.3682394065507,206.67151172502244
10009490,SCIMPACT,Republican,1,1,1452.7446648021703,369.75336134453784
10009780,CHNG_B,Independent,1,2,1629.7211979686838,55.00418301795648
10009780,CHNG_A,Independent,1,2,1603.0279340526276,223.78215099712511
10009780,SCIMPACT,Independent,1,2,982.1054479376285,375.5049072675904
10010270,CHNG_B,Other,8,1,160.0416710542975,168.875352101573
10010270,CHNG_A,Other,8,1,220.5858008352966,314.0214273452693
10010270,SCIMPACT,Other,8,1,1484.8998831849397,505.6660076862316
10010490,CHNG_B,Independent,8,4,421.85794640213453,66.73043877078756
10010490,CHNG_A,Independent,8,4,368.790158544074,201.83782651462798
10010490,SCIMPACT,Independent,8,4,982.4123037096696,369.75336134453784
10010710,CHNG_B,Republican,4,2,1398.2074805537295,40.93322062792282
10010710,CHNG_A,Republican,4,2,742.5138167423272,235.3197215574671
10010710,SCIMPACT,Republican,4,2,887.2297552919114,402.6053394330989
10011060,CHNG_B,Republican,8,4,1417.6562240628375,6.635585015629796
10011060,CHNG_A,Republican,8,4,841.1611027922258,271.9149666788778
10011060,SCIMPACT,Republican,8,4,757.4765189335228,409.2335690035981
10011410,CHNG_B,Other,1,1,137.57116693510952,153.65135203016973
10011410,CHNG_A,Other,1,1,214.01216851999772,343.29404341510497
10011410,SCIMPACT,Other,1,1,1439.2006675333375,486.5307662374459
10011720,CHNG_B,Republican,5,3,159.808378767841,99.94725352771653
10011720,CHNG_A,Republican,5,3,1420.2389564627638,199.66717834984337
10011720,SCIMPACT,Republican,5,3,842.8798031786481,452.89174052908
10011850,CHNG_B,Democrat,8,4,462.92326695742975,112.1285587768329
10011850,CHNG_A,Democrat,8,4,302.9003674121315,329.43289769363633
10011850,SCIMPACT,Democrat,8,4,1143.063758974496,499.94419283915335
10012560,CHNG_B,Democrat,3,1,297.0695287578727,170.5108346055941
10012560,CHNG_A,Democrat,3,1,467.26423617644184,312.2065668199888
10012560,SCIMPACT,Democrat,3,1,1084.650243124378,480.02109735796085
10013040,CHNG_B,Republican,7,3,1407.0879484916686,62.78937068633754
10013040,CHNG_A,Republican,7,3,791.3743156189483,218.46688869542234
10013040,SCIMPACT,Republican,7,3,855.1494842670935,417.80468459024564
10013240,CHNG_B,Democrat,6,4,370.57129482736434,131.36085173077527
10013240,CHNG_A,Democrat,6,4,374.77433481453187,326.70693919070493
